#{"args": {"env": "full_car", "seed": null, "alg": "sac", "num_timesteps": 20000000000.0, "network": "mlp_big", "num_env": null, "play": false, "prefix": "", "model_path": null, "lstm_on": true, "network_size": 64, "layer_size": 2, "window_size": 4, "pallet_counts": 200}}
0.16,1651991786.4411175
0.16,1652750587.0756972
0.28,1652750587.0768466
0.44,1652750587.0778248
0.64,1652750587.0791316
0.64,1652750587.0794635
0.64,1652750587.0801156
0.64,1652750587.0804813
0.64,1652750587.0808122
0.64,1652750587.081137
0.64,1652750587.0818036
0.64,1652750587.0821438
0.64,1652750587.0824876
0.64,1652750587.0842528
0.64,1652750587.0846164
0.64,1652750587.08499
0.64,1652750587.0858603
0.64,1652750587.0870903
0.64,1652750587.087499
0.64,1652750587.0880005
0.64,1652750587.0884533
0.64,1652750587.0888612
0.64,1652750587.089653
0.64,1652750587.0904377
0.64,1652750587.092488
0.64,1652750587.0929084
0.64,1652750587.0945334
0.64,1652750587.094942
0.64,1652750587.0961804
0.64,1652750587.0966039
0.64,1652750587.0970051
0.64,1652750587.0974162
0.64,1652750587.0995066
0.64,1652750587.102841
0.64,1652750587.105188
0.64,1652750587.106119
0.64,1652750587.1065748
0.64,1652750587.1079757
0.64,1652750587.1084173
0.64,1652750587.109362
0.64,1652750587.111238
0.64,1652750587.1119447
0.64,1652750587.1127176
0.64,1652750587.1135004
0.64,1652750587.114268
0.64,1652750587.1156352
0.64,1652750587.1161299
0.64,1652750587.1167824
0.64,1652750587.1172733
0.64,1652750587.1178298
0.64,1652750587.1211014
0.0,1652750705.3188999
0.36,1652750705.321026
0.44,1652750705.3215244
0.64,1652750705.3263962
0.64,1652750705.327393
0.64,1652750705.327839
0.64,1652750705.3293996
0.64,1652750705.3307207
0.64,1652750705.3318028
0.64,1652750705.33273
0.64,1652750705.333334
0.64,1652750705.3347104
0.64,1652750705.3351452
0.64,1652750705.3355868
0.64,1652750705.3360229
0.64,1652750705.3375583
0.64,1652750705.3384516
0.64,1652750705.3402827
0.64,1652750705.34209
0.64,1652750705.3425565
0.64,1652750705.343447
0.64,1652750705.3438795
0.64,1652750705.3448
0.64,1652750705.3461196
0.64,1652750705.3465564
0.64,1652750705.3469932
0.64,1652750705.3489065
0.64,1652750705.35049
0.64,1652750705.3510427
0.64,1652750705.3515162
0.64,1652750705.3524368
0.64,1652750705.3557677
0.64,1652750705.3567889
0.64,1652750705.3583903
0.64,1652750705.3604255
0.64,1652750705.3609517
0.64,1652750705.361481
0.64,1652750705.361967
0.64,1652750705.3629746
0.64,1652750705.3635023
0.64,1652750705.364611
0.64,1652750705.365627
0.64,1652750705.3662148
0.64,1652750705.3683004
0.64,1652750705.3693821
0.04,1652750774.1757393
0.16,1652750774.176244
0.32,1652750774.1766915
0.44,1652750774.1772764
0.48,1652750774.1777692
0.48,1652750774.1782906
0.48,1652750774.1787295
0.48,1652750774.180014
0.48,1652750774.1808913
0.48,1652750774.1813195
0.48,1652750774.1839955
0.52,1652750774.1844404
0.64,1652750774.1857913
0.64,1652750774.1868842
